iter	RMSE
218	3868.221957
219	3865.859092
220	3865.144192
221	3864.540384
222	3862.573855
223	3860.164375
224	3858.248267
225	3855.971945
226	3854.48553
227	3852.259721
228	3847.95673
229	3845.999902
230	3845.419529
231	3844.589691
232	3843.119355
233	3841.772651
234	3841.400652
235	3840.030275
236	3838.746065
237	3835.134593
238	3832.572417
239	3830.361143
240	3828.203794
241	3827.148285
242	3824.367804
243	3819.458503
244	3819.05764
245	3818.527763
246	3816.636975
247	3814.822872
248	3812.055059
249	3811.205841
250	3810.117793
251	3807.446743
252	3805.733007
253	3802.61993
254	3800.447995
255	3798.088522
256	3796.087569
257	3793.244467
258	3792.706245
259	3789.051908
260	3788.582588
261	3784.547704
262	3780.034694
263	3777.76924
264	3776.31026
265	3773.83638
266	3769.708927
267	3766.477292
268	3763.405879
269	3760.628039
270	3759.029888
271	3756.617389
272	3756.417339
273	3751.01972
274	3750.677578
275	3747.279659
276	3744.486779
277	3740.757317
278	3736.488319
279	3735.176559
280	3732.403008
281	3731.045943
282	3727.555178
283	3725.449134
284	3722.61903
285	3721.084287
286	3720.643798
287	3718.025518
288	3715.801237
289	3713.144816
290	3708.711625
291	3708.429134
292	3706.042993
293	3704.736806
294	3703.003154
295	3698.418901
296	3696.920079
297	3696.428407
298	3695.224831
299	3692.519799
300	3689.622854
301	3689.195322
302	3686.026694
303	3683.744184
304	3681.271989
305	3678.787571
306	3676.962007
307	3675.710919
308	3673.215188
309	3672.734501
310	3672.276202
311	3671.548465
312	3670.33495
313	3666.475019
314	3665.410551
315	3662.222692
316	3661.833529
317	3660.363693
318	3659.916153
319	3656.710506
320	3656.327307
321	3655.144464
322	3652.71686
323	3652.332784
324	3650.915169
325	3647.421476
326	3645.292942
327	3643.890187
328	3640.891728
329	3637.629732
330	3636.835995
331	3633.874912
332	3632.749339
333	3632.391449
334	3630.345378
335	3629.205414
336	3628.094446
337	3625.729959
338	3625.48115
339	3624.592655
340	3624.102602
341	3623.961349
342	3620.856162
343	3620.076595
344	3617.209211
345	3614.12204
346	3611.875179
347	3611.276537
348	3609.904846
349	3607.505546
350	3605.316709
351	3604.10222
352	3601.824014
353	3600.948878
354	3598.505765
355	3596.980145
356	3596.626467
357	3595.32303
358	3592.487052
359	3591.577522
360	3590.077193
361	3589.741326
362	3587.746636
363	3586.467831
364	3583.759375
365	3582.51166
366	3580.634385
367	3578.327856
368	3576.446247
369	3575.281235
370	3574.662519
371	3573.655476
372	3572.673731
373	3570.645358
374	3568.745953
375	3567.998029
376	3567.770119
377	3564.949677
378	3564.638927
379	3564.007787
380	3562.701269
381	3562.389051
382	3560.240587
383	3558.906702
384	3558.597748
385	3558.188507
386	3557.890542
387	3556.943805
388	3553.71281
389	3551.484908
390	3549.410493
391	3544.448431
392	3542.157221
393	3541.835667
394	3537.791729
395	3536.305453
396	3533.955025
397	3532.137694
398	3531.210864
399	3530.171176
400	3529.891387
401	3527.832698
402	3527.008539
403	3526.152411
404	3524.892519
405	3524.137407
406	3522.717414
407	3520.894332
408	3518.168692
409	3515.043403
410	3512.23174
411	3510.18061
412	3507.747658
413	3505.06188
414	3502.392399
415	3500.413219
416	3500.145823
417	3498.403828
418	3496.586247
419	3493.30885
420	3493.132107
421	3489.95935
422	3487.836463
423	3485.592565
424	3484.111175
425	3481.405024
426	3478.760443
427	3478.386405
428	3477.058583
429	3475.113999
430	3474.792377
431	3470.273298
432	3468.279237
433	3467.192659
434	3466.929202
435	3465.302472
436	3464.706091
437	3463.886786
438	3461.911026
439	3461.146192
440	3460.296258
441	3457.188256
442	3455.177988
443	3452.301227
444	3450.163678
445	3446.323076
446	3446.077219
447	3445.138742
448	3443.103006
449	3442.198355
450	3440.110665
451	3439.354947
452	3436.957562
453	3436.292646
454	3436.023434
455	3432.628295
456	3430.322699
457	3428.081669
458	3426.231392
459	3425.223733
460	3424.996667
461	3424.77069
462	3424.101467
463	3422.006553
464	3419.972541
465	3416.698763
466	3414.261102
467	3412.50669
468	3411.719106
469	3411.503308
470	3409.591388
471	3407.629375
472	3406.858463
473	3403.417047
474	3402.987158
475	3402.756005
476	3400.282701
477	3398.595812
478	3397.399074
479	3395.212381
480	3393.339997
481	3392.069898
482	3391.159273
483	3389.513773
484	3387.912096
485	3387.162118
486	3386.954272
487	3384.729265
488	3384.069094
489	3383.859185
490	3383.659144
491	3381.957363
492	3381.458685
493	3381.258076
494	3381.070895
495	3379.913726
496	3378.446084
497	3376.535802
498	3376.341617
499	3375.432522
500	3373.558092
501	3372.357551
502	3371.869181
503	3370.763951
504	3367.957772
505	3367.604217
506	3367.395559
507	3364.582516
508	3363.759106
509	3361.610028
510	3361.404846
511	3359.326009
512	3358.676135
513	3356.879877
514	3353.74492
515	3353.46321
516	3351.078405
517	3348.906368
518	3347.780021
519	3346.862632
520	3346.684685
521	3345.558656
522	3345.117736
523	3344.533339
524	3342.918765
525	3340.86004
526	3340.666553
527	3340.359143
528	3339.656321
529	3339.043154
530	3338.877911
531	3336.774894
532	3335.501987
533	3334.035145
534	3333.3535
535	3331.626603
536	3330.336144
537	3329.939636
538	3327.758785
539	3325.861036
540	3321.853519
541	3318.998335
542	3317.783772
543	3317.329763
544	3316.030531
545	3315.476943
546	3313.875466
547	3313.719224
548	3310.448041
549	3308.692555
550	3307.805457
551	3306.326809
552	3304.34991
553	3302.763654
554	3302.005015
555	3300.012302
556	3298.0399
557	3297.886825
558	3296.618192
559	3294.264423
560	3293.219895
561	3292.560392
562	3292.410253
563	3290.405945
564	3289.761606
565	3288.395797
566	3287.766059
567	3287.105993
568	3286.47195
569	3286.151763
570	3284.203611
571	3282.631316
572	3280.493411
573	3279.311131
574	3277.872794
575	3275.98769
576	3272.659783
577	3271.939228
578	3270.271423
579	3268.43957
580	3266.579187
581	3263.684849
582	3263.06847
583	3261.012816
584	3259.687906
585	3257.181817
586	3255.147492
587	3254.76711
588	3253.509912
589	3251.578766
590	3248.562616
591	3248.407173
592	3247.358274
593	3246.293103
594	3245.354026
595	3243.527339
596	3241.965978
597	3240.561446
598	3238.746145
599	3237.415588
600	3236.553643
601	3235.993753
602	3234.206901
603	3233.049781
604	3230.112679
605	3228.976476
606	3226.558968
607	3225.172507
608	3222.715258
609	3221.455368
610	3218.30621
611	3217.742102
612	3215.693199
613	3213.88985
614	3211.0111
615	3209.066037
616	3208.735715
617	3206.935572
618	3205.254133
619	3204.65769
620	3203.745454
621	3201.66218
622	3200.125936
623	3198.685799
624	3198.548633
625	3196.766377
626	3195.040935
627	3194.842882
628	3193.032939
629	3191.747933
630	3189.998739
631	3188.830506
632	3187.221188
633	3186.735529
634	3185.076824
635	3184.283065
636	3183.306624
637	3182.79196
638	3181.519442
639	3180.863299
640	3179.706174
641	3179.138234
642	3177.415242
643	3175.592837
644	3175.502403
645	3174.363942
646	3174.081941
647	3172.859775
648	3170.234092
649	3170.093075
650	3168.807974
651	3167.91941
652	3166.227933
653	3164.313735
654	3164.229976
655	3163.6767
656	3163.355381
657	3161.627361
658	3161.086238
659	3159.305921
660	3158.837143
661	3155.812235
662	3155.314577
663	3155.192315
664	3153.510322
665	3151.706017
666	3150.598338
667	3148.816322
668	3148.029755
669	3146.429831
670	3144.329135
671	3141.383453
672	3141.261767
673	3140.734984
674	3140.224507
675	3139.752523
676	3137.323556
677	3134.704983
678	3134.259237
679	3131.340444
680	3130.091223
681	3129.946536
682	3129.534997
683	3126.72558
684	3126.245179
685	3125.957028
686	3124.845483
687	3123.230547
688	3122.288051
689	3119.334773
690	3119.218694
691	3117.607798
692	3114.924258
693	3113.055727
694	3110.971319
695	3109.190223
696	3104.861291
697	3103.563972
698	3103.041377
699	3100.662703
700	3100.549786
701	3100.440576
702	3098.861776
703	3098.744902
704	3097.59322
705	3097.491943
706	3094.171606
707	3092.337063
708	3090.915663
709	3088.679236
710	3088.573045
711	3088.434102
712	3087.92921
713	3086.240509
714	3083.701334
715	3083.222871
716	3081.813896
717	3079.562631
718	3079.457598
719	3077.98369
720	3077.785113
721	3076.761502
722	3076.277854
723	3075.088409
724	3074.027134
725	3073.773183
726	3072.092767
727	3071.320249
728	3068.904947
729	3067.860461
730	3067.183411
731	3066.153684
732	3066.063821
733	3064.639635
734	3062.840152
735	3062.750705
736	3062.663143
737	3061.242422
738	3059.936975
739	3057.881556
740	3055.212002
741	3053.438876
742	3051.421899
743	3049.883054
744	3049.830186
745	3048.256787
746	3047.265853
747	3045.83149
748	3043.191128
749	3042.286197
750	3041.641207
751	3040.345579
752	3038.323915
753	3037.942604
754	3036.824526
755	3036.692399
756	3035.138969
757	3035.05662
758	3034.743371
759	3034.252876
760	3034.129174
761	3032.776458
762	3031.302113
763	3031.250294
764	3029.767991
765	3029.459881
766	3028.451136
767	3028.335181
768	3026.539716
769	3025.093015
770	3024.96887
771	3024.763078
772	3023.798622
773	3023.385779
774	3023.142313
775	3021.639155
776	3020.710829
777	3019.367658
778	3018.155119
779	3017.560817
780	3015.920342
781	3014.502752
782	3013.543992
783	3011.830596
784	3010.661957
785	3009.343169
786	3009.245317
787	3009.212462
788	3008.825953
789	3007.709436
790	3006.636163
791	3005.985482
792	3004.754061
793	3004.433027
794	3003.057319
795	3002.116618
796	3000.814645
797	2999.74095
798	2999.654711
799	2997.769436
800	2995.540916
801	2993.960597
802	2993.117124
803	2991.686944
804	2990.340147
805	2989.956761
806	2989.559657
807	2989.186823
808	2987.362067
809	2985.496814
810	2984.557029
811	2983.895538
812	2981.730792
813	2981.676086
814	2979.667145
815	2976.567638
816	2974.530291
817	2972.854548
818	2972.789682
819	2971.624056
820	2971.300097
821	2970.924638
822	2970.54092
823	2967.941904
824	2967.086897
825	2967.016601
826	2964.963828
827	2963.714446
828	2963.355996
829	2962.360909
830	2961.247829
831	2959.226186
832	2958.2597
833	2958.174664
834	2957.034964
835	2956.447493
836	2955.447639
837	2954.865122
838	2953.15893
839	2952.694622
840	2952.58449
841	2951.861454
842	2949.576967
843	2947.588284
844	2945.949172
845	2945.770035
846	2943.424032
847	2942.200633
848	2940.943613
849	2940.189545
850	2938.877224
851	2936.926177
852	2935.557563
853	2932.743236
854	2930.521772
855	2929.677165
856	2927.060706
857	2926.989623
858	2926.044197
859	2925.706215
860	2924.876045
861	2924.428616
862	2923.085685
863	2921.030311
864	2918.656341
865	2917.601525
866	2917.546902
867	2916.400983
868	2916.083937
869	2915.14988
870	2912.332469
871	2910.667437
872	2910.207958
873	2909.094556
874	2908.595195
875	2908.50841
876	2907.316064
877	2907.247681
878	2905.79574
879	2904.233605
880	2902.065557
881	2900.608709
882	2899.578122
883	2898.976993
884	2898.587642
885	2897.351413
886	2894.957236
887	2892.254481
888	2890.962357
889	2889.345826
890	2889.019938
891	2886.863149
892	2886.559795
893	2885.741009
894	2883.740115
895	2882.073626
896	2881.319331
897	2880.94313
898	2879.701592
899	2878.28915
900	2877.516329
901	2875.70345
902	2873.297093
903	2872.427393
904	2870.613851
905	2869.417048
906	2868.190064
907	2866.919739
908	2865.761882
909	2863.990407
910	2863.535906
911	2863.476673
912	2861.242762
913	2859.375545
914	2857.198639
915	2856.279632
916	2854.149039
917	2852.673157
918	2852.48437
919	2850.443778
920	2848.54685
921	2846.878377
922	2845.077691
923	2844.717481
924	2842.914849
925	2842.848373
926	2841.612025
927	2840.780776
928	2840.680946
929	2838.626467
930	2838.365216
931	2835.528183
932	2834.807252
933	2833.013077
934	2831.836007
935	2831.296155
936	2830.155313
937	2829.438664
938	2829.182458
939	2827.308485
940	2826.559659
941	2825.456899
942	2824.326281
943	2823.749747
944	2821.367455
945	2820.948945
946	2820.226278
947	2819.641825
948	2818.087155
949	2816.916194
950	2814.915169
951	2813.609685
952	2813.298444
953	2812.588875
954	2811.881434
955	2810.777134
956	2809.714424
957	2808.225116
958	2807.616713
959	2805.962964
960	2804.803783
961	2803.663982
962	2802.885715
963	2801.57723
964	2801.232272
965	2800.197483
966	2799.901721
967	2797.906312
968	2795.543165
969	2795.223215
970	2794.506828
971	2794.456199
972	2793.223999
973	2792.821099
974	2792.043946
975	2790.400591
976	2788.858258
977	2787.343148
978	2786.800339
979	2785.780753
980	2784.65705
981	2782.983577
982	2782.65437
983	2781.247718
984	2779.305328
985	2778.037824
986	2777.704098
987	2777.367749
988	2776.055863
989	2775.580745
990	2774.111009
991	2774.024812
992	2773.721974
993	2772.671786
994	2771.69102
995	2771.476405
996	2770.621015
997	2769.6355
998	2768.611329
999	2767.779631
